seed,direction,variant,present,auc,macro_f1,brier,ece,sensitivity,specificity,accuracy
42,adni_to_nacc,ce_only,True,0.9228487677474925,0.8076717598033978,0.09758792588265267,0.07272425514464773,0.7311827956989247,0.9095607235142119,0.875
42,adni_to_nacc,mixstyle,True,0.9188269289544608,0.8105263157894737,0.1035697204599915,0.07292797568564618,0.7526881720430108,0.9043927648578811,0.875
42,adni_to_nacc,apis_only,True,0.9239462643438637,0.7769793298263067,0.13162029052802285,0.08928311134481592,0.8817204301075269,0.8178294573643411,0.8302083333333333
42,nacc_to_adni,ce_only,True,0.8880810340541885,0.766250303177298,0.17472372138487324,0.1309382834175126,0.6912751677852349,0.8703703703703703,0.7665369649805448
42,nacc_to_adni,mixstyle,True,0.9149888143176733,0.8309546754776437,0.12441573695111424,0.049608582550615204,0.8053691275167785,0.8703703703703703,0.8326848249027238
42,nacc_to_adni,apis_only,True,0.939845886154611,0.8169432446768206,0.14108896168240864,0.07733073693862172,0.7315436241610739,0.9351851851851852,0.8171206225680934
43,adni_to_nacc,ce_only,True,0.873669806340474,0.6808918663223299,0.1130248521357706,0.0801509764588747,0.3118279569892473,0.9806201550387597,0.8510416666666667
43,adni_to_nacc,mixstyle,True,0.9129226751132227,0.7385902855663877,0.1566187410623001,0.08376112723748932,0.8978494623655914,0.7635658914728682,0.7895833333333333
43,adni_to_nacc,apis_only,True,0.8890868550470952,0.7604126227053407,0.13367758127708798,0.10686225761051497,0.7419354838709677,0.8527131782945736,0.83125
43,nacc_to_adni,ce_only,True,0.9077181208053692,0.8035888970408412,0.13445203954755056,0.09057159403451877,0.7785234899328859,0.8425925925925926,0.8054474708171206
43,nacc_to_adni,mixstyle,True,0.9171638081034054,0.7780891642555254,0.16206490638303306,0.12965323367929688,0.6912751677852349,0.8981481481481481,0.7782101167315175
43,nacc_to_adni,apis_only,True,0.8946681580909769,0.6972909305064782,0.23650436868121763,0.1888298597062214,0.5167785234899329,0.9537037037037037,0.7003891050583657
44,adni_to_nacc,ce_only,True,0.8288599927759718,0.7063868429018263,0.14214040581119838,0.05424426339773671,0.6182795698924731,0.8410852713178295,0.7979166666666667
44,adni_to_nacc,mixstyle,True,0.8948834430829931,0.7527858413709149,0.13291909235970129,0.06972496919851329,0.7956989247311828,0.8217054263565892,0.8166666666666667
44,adni_to_nacc,apis_only,True,0.8976827540218388,0.7792834427092094,0.11603972106151694,0.05443833192241287,0.7741935483870968,0.8617571059431525,0.8447916666666667
44,nacc_to_adni,ce_only,True,0.9228809346259012,0.7029725856409783,0.23028762829960014,0.20318745144574338,0.4966442953020134,1.0,0.708171206225681
44,nacc_to_adni,mixstyle,True,0.9388516032811335,0.7657389402041809,0.1700823444502418,0.138735842605066,0.610738255033557,0.9814814814814815,0.7665369649805448
44,nacc_to_adni,apis_only,True,0.9464951528709917,0.7496041895018877,0.19768331169069692,0.16649944627012822,0.5838926174496645,0.9814814814814815,0.7509727626459144
