seed,direction,variant,split,field_strength,status,balanced_accuracy,auc,macro_f1,sensitivity,specificity,accuracy,brier,ece,group_gap,worst_group_auc,n_subjects,n
42,adni_to_nacc,ce_only,target,3T,complete,0.8204551137784446,0.9117279319829957,0.7865250181654181,0.7688172043010753,0.872093023255814,0.8520833333333333,0.10934612069153112,0.06576323531464565,0.11304174315587834,0.848990342405619,960,960
42,adni_to_nacc,ce_only,source_val,1.5T,complete,0.8403846153846153,0.903846153846154,0.8260869565217392,0.7307692307692307,0.95,0.8260869565217391,0.15049986518858968,0.14210071902506166,0.2571428571428571,0.7428571428571429,46,46
42,adni_to_nacc,ce_only,source_val,3T,complete,0.7285714285714285,0.7428571428571429,0.7333333333333332,0.6,0.8571428571428571,0.75,0.19873941077221477,0.2059014129141966,0.5,0.5,12,12
42,adni_to_nacc,ce_only,source_test,1.5T,complete,0.8562753036437247,0.9271255060728745,0.8611111111111112,0.9230769230769231,0.7894736842105263,0.8666666666666667,0.09561983508437744,0.061264433088126014,0.6666666666666667,0.3333333333333333,45,45
42,adni_to_nacc,ce_only,source_test,3T,complete,1.0,,0.5,,1.0,1.0,0.013855834779669507,0.05138184295760258,,,6,6
42,adni_to_nacc,mixstyle,target,3T,complete,0.7523755938984746,0.8496707510210887,0.7265237064725556,0.6559139784946236,0.8488372093023255,0.8114583333333333,0.13353527822275935,0.05470255264339762,0.17554389344670696,0.7258312020460357,960,960
42,adni_to_nacc,mixstyle,source_val,1.5T,complete,0.8173076923076923,0.898076923076923,0.8206627680311891,0.8846153846153846,0.75,0.8260869565217391,0.1150859270691273,0.09245377843794614,0.2857142857142857,0.7142857142857143,46,46
42,adni_to_nacc,mixstyle,source_val,3T,complete,0.6857142857142857,0.7714285714285715,0.6666666666666666,0.8,0.5714285714285714,0.6666666666666666,0.235178376096614,0.28667265880439013,0.5,0.5,12,12
42,adni_to_nacc,mixstyle,source_test,1.5T,complete,0.7246963562753037,0.9109311740890689,0.7293603061782394,0.9230769230769231,0.5263157894736842,0.7555555555555555,0.14169878764506444,0.15479539579815327,0.33333333333333337,0.6666666666666666,45,45
42,adni_to_nacc,mixstyle,source_test,3T,complete,0.6666666666666666,,0.4,,0.6666666666666666,0.6666666666666666,0.1412406136777883,0.3006012696358893,,,6,6
42,adni_to_nacc,metadata,target,3T,complete,0.5,0.5,0.4463667820069204,0.0,1.0,0.80625,0.19375,0.19374999999999998,0.0,0.5,960,960
42,adni_to_nacc,metadata,source_val,1.5T,complete,0.8423076923076923,0.8846153846153846,0.8442186744073537,0.8846153846153846,0.8,0.8478260869565217,0.1392830546770543,0.10251032733830849,0.25714285714285723,0.7428571428571428,46,46
