artifact_root,seed,direction,metrics_path,variant,epochs,max_logged_composite_epoch,max_logged_validation_composite,max_composite_epoch_val_loss,best_checkpoint_epoch,best_checkpoint_selection,final_train_loss,final_val_loss,early_l2_epoch6_10,late_l2_last10,late_to_early_l2_ratio,early_feature_strength_epoch6_10,late_feature_strength_last10,target_balanced_accuracy,target_auc,target_sensitivity,target_specificity,memory_valid_slots,memory_total_assignments
D:\cyh\dictionary_learn\outputs\journal\apic_v3_screening_cn_ad\s1,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_screening_cn_ad\s1\seed42\adni_to_nacc\apic_v3_x\journal_metrics.json,apic_v3_x,50,12,1.1449921105813836,0.3441131494561527,,,0.000548502801459371,0.7437479325972292,8.573981771328965e-06,5.284687457547024e-08,0.006163632718719786,7.361512507152753e-08,1.3493089470906884e-08,0.79080186713345,0.9056986468839432,0.6720430107526881,0.9095607235142119,8,2324.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_screening_cn_ad\s1,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_screening_cn_ad\s1\seed42\adni_to_nacc\ce_x\journal_metrics.json,ce_x,50,15,1.1605163423339826,0.371877194613159,,,0.0003370192476635215,0.5342712549263696,0.0,0.0,,0.0,0.0,0.8027423522547303,0.9051429524047678,0.6881720430107527,0.917312661498708,,
D:\cyh\dictionary_learn\outputs\journal\apic_v3_screening_cn_ad\s1,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_screening_cn_ad\s1\seed42\adni_to_nacc\mixstyle_x\journal_metrics.json,mixstyle_x,50,42,1.1575311734469238,0.4022411904078976,,,0.0003416988130379924,0.6614111613225159,0.0,0.0,,0.0,0.0,0.8209969158956405,0.9104081575949543,0.7634408602150538,0.8785529715762274,,
D:\cyh\dictionary_learn\outputs\journal\apic_v3_screening_cn_ad\s1,42,nacc_to_adni,D:\cyh\dictionary_learn\outputs\journal\apic_v3_screening_cn_ad\s1\seed42\nacc_to_adni\apic_v3_x\journal_metrics.json,apic_v3_x,50,26,1.148116532883959,0.30007034920948744,,,0.0016291055028953112,0.47981302512698976,1.2245434610114552e-05,2.839727600459379e-06,0.23190092396670062,1.0363275794804944e-07,2.0710028473426112e-07,0.7301724137931034,0.8950431034482759,0.5603448275862069,0.9,8,15036.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_screening_cn_ad\s1,42,nacc_to_adni,D:\cyh\dictionary_learn\outputs\journal\apic_v3_screening_cn_ad\s1\seed42\nacc_to_adni\ce_x\journal_metrics.json,ce_x,50,9,1.1128629261410763,0.32080495117480545,,,0.0026184122346843367,0.5019331146700317,0.0,0.0,,0.0,0.0,0.7627155172413793,0.8767241379310344,0.6379310344827587,0.8875,,
D:\cyh\dictionary_learn\outputs\journal\apic_v3_screening_cn_ad\s1,42,nacc_to_adni,D:\cyh\dictionary_learn\outputs\journal\apic_v3_screening_cn_ad\s1\seed42\nacc_to_adni\mixstyle_x\journal_metrics.json,mixstyle_x,50,50,1.1245758429662254,0.3033701936241046,,,0.0018856197646060567,0.3033701936241046,0.0,0.0,,0.0,0.0,0.7588362068965517,0.8709051724137931,0.6551724137931034,0.8625,,
D:\cyh\dictionary_learn\outputs\journal\apic_v3_screening_cn_ad\s1,43,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_screening_cn_ad\s1\seed43\adni_to_nacc\apic_v3_x\journal_metrics.json,apic_v3_x,50,31,1.1697787566791122,0.5985783331343898,,,0.000736193522024256,0.7971448276864564,8.244621314002344e-06,6.317705411241461e-08,0.0076628206082815665,8.581115457403487e-08,1.6316097265770563e-08,0.7861965491372843,0.8967519657692201,0.6344086021505376,0.937984496124031,8,8632.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_screening_cn_ad\s1,43,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_screening_cn_ad\s1\seed43\adni_to_nacc\ce_x\journal_metrics.json,ce_x,50,13,1.1347382645371633,0.5257242599333074,,,0.00046923962693117243,0.6539929760736516,0.0,0.0,,0.0,0.0,0.6636450779361507,0.9171667916979245,0.34408602150537637,0.9832041343669251,,
D:\cyh\dictionary_learn\outputs\journal\apic_v3_screening_cn_ad\s1,43,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_screening_cn_ad\s1\seed43\adni_to_nacc\mixstyle_x\journal_metrics.json,mixstyle_x,50,11,1.137241703141685,0.39663191220310146,,,0.0005163426518835427,0.6724175049960839,0.0,0.0,,0.0,0.0,0.7615445528048679,0.854755355505543,0.6290322580645161,0.8940568475452196,,
D:\cyh\dictionary_learn\outputs\journal\apic_v3_screening_cn_ad\s1,43,nacc_to_adni,D:\cyh\dictionary_learn\outputs\journal\apic_v3_screening_cn_ad\s1\seed43\nacc_to_adni\apic_v3_x\journal_metrics.json,apic_v3_x,50,22,1.1060637252952306,0.29768167462124023,,,0.0014428753439669026,0.39310998490314,1.558786154937327e-05,2.715064860790741e-05,1.7417814831052971,1.819993937605763e-07,1.618471797377705e-06,0.6232758620689656,0.7795258620689655,0.39655172413793105,0.85,8,12172.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_screening_cn_ad\s1,43,nacc_to_adni,D:\cyh\dictionary_learn\outputs\journal\apic_v3_screening_cn_ad\s1\seed43\nacc_to_adni\ce_x\journal_metrics.json,ce_x,50,24,1.1306686818170257,0.34705702999867893,,,0.00024528052332578875,0.4492615472049111,0.0,0.0,,0.0,0.0,0.7976293103448275,0.9033405172413793,0.7327586206896551,0.8625,,
D:\cyh\dictionary_learn\outputs\journal\apic_v3_screening_cn_ad\s1,43,nacc_to_adni,D:\cyh\dictionary_learn\outputs\journal\apic_v3_screening_cn_ad\s1\seed43\nacc_to_adni\mixstyle_x\journal_metrics.json,mixstyle_x,50,36,1.1269522531530785,0.35272908852894014,,,0.0006396176669931666,0.41260611602449854,0.0,0.0,,0.0,0.0,0.7269396551724138,0.9054956896551724,0.49137931034482757,0.9625,,
