artifact_root,seed,direction,metrics_path,variant,epoch,phase,train_loss,val_loss,val_auc,val_balanced_accuracy,selection_eligible,selection_reasons,clean_ce,shift_ce,js,feature_consistency,intervention_penalty,apis_coefficient_l2,valid_intervention_frac,apis_feature_strength,style_confidence,style_entropy,style_delta,condition_gate,style_memory_valid_slots,style_memory_total_assignments
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,1,clean_warmup,0.4928545784429613,1.6053709095507451,0.625,,,,0.4928545784429613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,2,clean_warmup,0.30040968393525447,1.0024391609542775,0.5625,,,,0.30040968393525447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,3,clean_warmup,0.19452176543782992,1.0213098746196165,0.6145833333333334,,,,0.19452176543782992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,4,clean_warmup,0.2249500308219478,1.5049036525516333,0.6145833333333334,,,,0.2249500308219478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,5,clean_warmup,0.08456190573949232,0.6033532046537213,0.6879528985507246,,,,0.08456190573949232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,6,style_bank_build,0.018414423614459854,0.6033532046537213,0.6884057971014492,,,,0.017674457588996065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,7,apis_warmup,0.15983484996235872,0.8893086426662948,0.6467391304347826,,,,0.15983484996235872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3026517500360328,0.001717201252591318,0.0,0.0,4,93.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,8,apis_warmup,0.26165293306336707,0.5675757339823868,0.6671195652173912,,,,0.26165293306336707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3188721726098693,0.0004126831377796705,0.0,0.0,4,93.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,9,apis_warmup,0.1922878194979044,1.0321474737887706,0.6458333333333334,,,,0.1922878194979044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31713147712759227,0.000365485602696755,0.0,0.0,4,93.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,10,apis_warmup,0.15083073624353632,0.6764702127174527,0.7160326086956522,,,,0.15083073624353632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30814527513751067,0.008475235585718959,0.0,0.0,4,93.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,11,apis_warmup,0.11481070882326598,0.40798490391692743,0.728713768115942,,,,0.11481070882326598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.311924592917224,0.0007135868013071906,0.0,0.0,4,93.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,12,joint,0.09492676582675517,0.6746538828060092,0.7807971014492754,,,,0.09492676582675517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29132618871798,0.002318680153069201,0.0,0.0,4,93.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,13,joint,0.0706262845498319,0.45939171742614937,0.8129528985507246,,,,0.0706262845498319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3008301559701023,6.1015591735868365e-06,0.0,0.0,4,93.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,14,joint,0.08379587145937405,0.5318245382081755,0.8129528985507246,,,,0.08379587145937405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3179243650422039,0.0036162578294761955,0.0,0.0,4,93.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,15,joint,0.03016895463995927,0.5633265876877319,0.7966485507246377,,,,0.03016895463995927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29390548025987234,0.0005821975394209895,0.0,0.0,4,93.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,16,joint,0.04247901721504035,0.4372661804714743,0.8038949275362319,,,,0.04247901721504035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29252884581864597,0.0033886967322527568,0.0,0.0,4,93.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,17,joint,0.018811947981692313,0.4178566704866617,0.8183876811594203,,,,0.018811947981692313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3022892710315176,0.0017466073039018944,0.0,0.0,4,93.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,18,joint,0.007060025345971696,0.431394428867621,0.8442028985507246,,,,0.007060025345971696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29977610545704164,0.0035396437284849203,0.0,0.0,4,93.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,19,joint,0.0050586069806434035,0.4263234652319985,0.8627717391304347,,,,0.0050586069806434035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2816638196089182,0.0006845375159688246,0.0,0.0,4,93.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,20,joint,0.023886032528047597,0.5433397711111746,0.8410326086956522,,,,0.023886032528047597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2874770672565483,0.001896794968465562,0.0,0.0,4,93.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,21,joint,0.00744628510648295,0.6110020488734524,0.822463768115942,,,,0.00744628510648295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29261712083615454,0.00013348640828524585,0.0,0.0,4,93.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,22,joint,0.002921676575290376,0.5127450685562644,0.8079710144927535,,,,0.002921676575290376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3001770174287888,0.0017628598968135387,0.0,0.0,4,93.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,23,joint,0.0023377953766612336,0.5745993520925727,0.8152173913043478,,,,0.0023377953766612336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30404164471540107,0.00221480010437967,0.0,0.0,4,93.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,24,joint,0.0029360269601681234,0.589876006069491,0.8120471014492754,,,,0.0029360269601681234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30725824563618165,0.005370827297443535,0.0,0.0,4,93.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,25,joint,0.0018295622721780092,0.599740119826544,0.7903079710144927,,,,0.0018295622721780092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30384099357817546,0.0018314389701784017,0.0,0.0,4,93.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,26,joint,0.002788639577078992,0.5820515911505455,0.7830615942028984,,,,0.002788639577078992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30128783795488884,0.0005654884624610747,0.0,0.0,4,93.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,27,joint,0.0024289149999287517,0.6395742857316262,0.7830615942028984,,,,0.0024289149999287517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30336742785321663,0.002230093785082362,0.0,0.0,4,93.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,28,joint,0.0015761983717289608,0.5799887915597863,0.7975543478260869,,,,0.0015761983717289608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2945970537432705,0.0006463851014454964,0.0,0.0,4,93.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,29,joint,0.001350615275441669,0.6591465358170988,0.7903079710144927,,,,0.001350615275441669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31664427701967307,0.0007208772011142191,0.0,0.0,4,93.0
