artifact_root,seed,direction,metrics_path,variant,epochs,max_logged_composite_epoch,max_logged_validation_composite,max_composite_epoch_val_loss,best_checkpoint_epoch,best_checkpoint_selection,final_train_loss,final_val_loss,early_l2_epoch6_10,late_l2_last10,late_to_early_l2_ratio,early_feature_strength_epoch6_10,late_feature_strength_last10,target_balanced_accuracy,target_auc,target_sensitivity,target_specificity,memory_valid_slots,memory_total_assignments
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,50,35,0.8627717391304349,0.5964646954166625,35,"{'collapse_guard': None, 'performance_selector': {'current': 0.8627717391304348, 'ema': 0.8627717391304349, 'metric': 'subject_balanced_accuracy', 'window': 3}, 'seed': 42, 'val_loss': 0.5964646954166625, 'val_score': 0.8627717391304349}",0.00033927920588003947,0.6736405515667332,0.0,0.0,,0.0,0.0,0.8161623739268151,0.8971270595426634,0.7473118279569892,0.8850129198966409,4,93.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\ce_x\journal_metrics.json,ce_x,50,15,0.9157608695652174,0.33954332726798897,15,"{'collapse_guard': None, 'performance_selector': {'current': 0.8940217391304348, 'ema': 0.9157608695652174, 'metric': 'subject_balanced_accuracy', 'window': 3}, 'seed': 42, 'val_loss': 0.33954332726798897, 'val_score': 0.9157608695652174}",0.00032890821771013496,0.4568280926848257,0.0,0.0,,0.0,0.0,0.7803825956489122,0.9064974576977578,0.6344086021505376,0.9263565891472868,,
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\adni_to_nacc\mixstyle_x\journal_metrics.json,mixstyle_x,50,31,0.9076086956521738,0.48205602251852364,31,"{'collapse_guard': None, 'performance_selector': {'current': 0.9252717391304348, 'ema': 0.9076086956521738, 'metric': 'subject_balanced_accuracy', 'window': 3}, 'seed': 42, 'val_loss': 0.48205602251852364, 'val_score': 0.9076086956521738}",0.0003258978127435632,0.5404233726742704,0.0,0.0,,0.0,0.0,0.7937192631491206,0.9103039648801088,0.6559139784946236,0.9315245478036176,,
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,nacc_to_adni,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\nacc_to_adni\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,50,32,0.8336239465271724,0.41745430387319105,32,"{'collapse_guard': None, 'performance_selector': {'current': 0.8338273757628596, 'ema': 0.8336239465271724, 'metric': 'subject_balanced_accuracy', 'window': 3}, 'seed': 42, 'val_loss': 0.41745430387319105, 'val_score': 0.8336239465271724}",0.005796998905654679,0.3779188849617832,0.0,0.0,,0.0,0.0,0.8254310344827587,0.9137931034482759,0.7758620689655172,0.875,4,321.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,nacc_to_adni,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\nacc_to_adni\ce_x\journal_metrics.json,ce_x,50,49,0.8617262423714037,0.41734492892465713,49,"{'collapse_guard': None, 'performance_selector': {'current': 0.8634699215344377, 'ema': 0.8617262423714037, 'metric': 'subject_balanced_accuracy', 'window': 3}, 'seed': 42, 'val_loss': 0.41734492892465713, 'val_score': 0.8617262423714037}",0.0007878021890227293,0.3990699777261261,0.0,0.0,,0.0,0.0,0.8349137931034483,0.9209051724137931,0.8448275862068966,0.825,,
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,42,nacc_to_adni,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed42\nacc_to_adni\mixstyle_x\journal_metrics.json,mixstyle_x,50,36,0.851438535309503,0.45206326969150423,36,"{'collapse_guard': None, 'performance_selector': {'current': 0.8705318221447254, 'ema': 0.851438535309503, 'metric': 'subject_balanced_accuracy', 'window': 3}, 'seed': 42, 'val_loss': 0.45206326969150423, 'val_score': 0.851438535309503}",0.00546879317696735,0.4675897115028716,0.0,0.0,,0.0,0.0,0.7844827586206897,0.8576508620689655,0.8189655172413793,0.75,,
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,43,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed43\adni_to_nacc\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,50,22,0.841032608695652,0.5078091566925341,22,"{'collapse_guard': None, 'performance_selector': {'current': 0.8410326086956521, 'ema': 0.841032608695652, 'metric': 'subject_balanced_accuracy', 'window': 3}, 'seed': 43, 'val_loss': 0.5078091566925341, 'val_score': 0.841032608695652}",0.0004497319331161393,0.8686582447421728,0.0,0.0,,0.0,0.0,0.7973660081687088,0.8994957072601485,0.6774193548387096,0.917312661498708,4,91.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,43,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed43\adni_to_nacc\ce_x\journal_metrics.json,ce_x,50,38,0.8596014492753623,0.6875700423873928,38,"{'collapse_guard': None, 'performance_selector': {'current': 0.875, 'ema': 0.8596014492753623, 'metric': 'subject_balanced_accuracy', 'window': 3}, 'seed': 43, 'val_loss': 0.6875700423873928, 'val_score': 0.8596014492753623}",0.0004386274701014865,0.6251528662803165,0.0,0.0,,0.0,0.0,0.8427106776694173,0.9196049012253062,0.8172043010752689,0.8682170542635659,,
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,43,adni_to_nacc,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed43\adni_to_nacc\mixstyle_x\journal_metrics.json,mixstyle_x,50,26,0.8505434782608696,0.5008179937082083,26,"{'collapse_guard': None, 'performance_selector': {'current': 0.8505434782608696, 'ema': 0.8505434782608696, 'metric': 'subject_balanced_accuracy', 'window': 3}, 'seed': 43, 'val_loss': 0.5008179937082083, 'val_score': 0.8505434782608696}",0.00044624310538049294,0.646814703118201,0.0,0.0,,0.0,0.0,0.792198049512378,0.9077199855519434,0.6774193548387096,0.9069767441860465,,
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,43,nacc_to_adni,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed43\nacc_to_adni\apic_v3_2_x\journal_metrics.json,apic_v3_2_x,50,29,0.8379250217959896,0.4769958980482742,29,"{'collapse_guard': None, 'performance_selector': {'current': 0.8081952920662598, 'ema': 0.8379250217959896, 'metric': 'subject_balanced_accuracy', 'window': 3}, 'seed': 43, 'val_loss': 0.4769958980482742, 'val_score': 0.8379250217959896}",0.0006058158829729216,0.4952572310649411,0.0,0.0,,0.0,0.0,0.7353448275862069,0.8563577586206897,0.6206896551724138,0.85,4,329.0
D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4,43,nacc_to_adni,D:\cyh\dictionary_learn\outputs\journal\apic_v3_2_screening_cn_ad\r4\seed43\nacc_to_adni\ce_x\journal_metrics.json,ce_x,50,31,0.8548677709968032,0.48005629734301297,31,"{'collapse_guard': None, 'performance_selector': {'current': 0.8550130775937228, 'ema': 0.8548677709968032, 'metric': 'subject_balanced_accuracy', 'window': 3}, 'seed': 43, 'val_loss': 0.48005629734301297, 'val_score': 0.8548677709968032}",0.0006016055285625288,0.4239107693140631,0.0,0.0,,0.0,0.0,0.813146551724138,0.8876077586206896,0.9137931034482759,0.7125,,
