unit,split,n,support_frac,nonzero_rms_l1_frac,nonzero_rms_l2_frac,band_hit_l1,band_hit_l2,unsup_nz_l1,unsup_nz_l2,unsup_max_prob_diff,unsup_max_emb_cos,flip_rate,clean_ba,shift_ba,js_mean,l1_p50,l2_p50
seed42_adni_to_nacc,source_train,334,0.8952095808383234,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.1920928955078125e-07,0.0,1.0,1.0,2.1856787312171283e-08,0.004332254873588681,0.009115617722272873
seed42_adni_to_nacc,source_val,106,0.9245283018867925,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.1920928955078125e-07,0.0,0.8085714285714285,0.8085714285714285,2.9845014999505872e-05,0.005223641870543361,0.010848468635231256
seed42_adni_to_nacc,source_test,107,0.8504672897196262,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.1920928955078125e-07,0.0,0.8314567206192822,0.8314567206192822,1.912379696022981e-05,0.0043435413390398026,0.008916478604078293
seed42_adni_to_nacc,target,1181,0.5215918712955123,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.7881393432617188e-07,0.000846740050804403,0.8107908253630889,0.8102594757350337,6.465916399669996e-06,0.0025245097931474447,0.005239918362349272
seed42_nacc_to_adni,source_train,716,0.8701117318435754,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.1920928955078125e-07,0.0,1.0,1.0,4.051727837406759e-07,0.004521221155300736,0.008743019308894873
seed42_nacc_to_adni,source_val,227,0.8193832599118943,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.1920928955078125e-07,0.0,0.83329329810233,0.83329329810233,4.4906118923157385e-06,0.004548976663500071,0.008944219909608364
seed42_nacc_to_adni,source_test,238,0.8739495798319328,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.7881393432617188e-07,0.0,0.9066515495086924,0.9066515495086924,3.2875186731999046e-06,0.004845805931836367,0.009397272020578384
seed42_nacc_to_adni,target,547,0.35283363802559414,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.384185791015625e-07,0.0018281535648994515,0.8103037602033989,0.8120768098487889,1.4571894649742354e-06,0.0,0.0
seed43_adni_to_nacc,source_train,334,0.781437125748503,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.7881393432617188e-07,0.0,1.0,1.0,2.539597821193419e-07,0.003982977010309696,0.008949026931077242
seed43_adni_to_nacc,source_val,106,0.7735849056603774,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.1920928955078125e-07,0.0,0.7807142857142857,0.7807142857142857,3.0012916818980916e-05,0.004001997876912355,0.009056019131094217
seed43_adni_to_nacc,source_test,107,0.7850467289719626,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.7881393432617188e-07,0.0,0.8142153413089375,0.8142153413089375,1.6920308417647308e-05,0.0040144240483641624,0.008689983747899532
seed43_adni_to_nacc,target,1181,0.18712955122777308,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.7881393432617188e-07,0.0,0.7871479808714134,0.7871479808714134,3.0750039602016258e-06,0.0,0.0
seed43_nacc_to_adni,source_train,716,0.8980446927374302,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.384185791015625e-07,0.0,1.0,1.0,1.0429847589066164e-06,0.004399190191179514,0.011174403596669436
seed43_nacc_to_adni,source_val,227,0.8546255506607929,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.1920928955078125e-07,0.0,0.7850108095123709,0.7850108095123709,2.10198007586136e-05,0.004445991944521666,0.011358469724655151
seed43_nacc_to_adni,source_test,238,0.9033613445378151,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.1920928955078125e-07,0.0,0.8412698412698413,0.8412698412698413,1.5497899247805066e-05,0.004448501858860254,0.011399589944630861
seed43_nacc_to_adni,target,547,0.31444241316270566,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.7881393432617188e-07,0.0018281535648994515,0.7304027833534056,0.7285159909005754,6.8127024936125976e-06,0.0,0.0
