seed,direction,variant,split,field_strength,balanced_accuracy,auc,macro_f1,accuracy,sensitivity,specificity,n,n_subjects
42,ADNI_to_NACC,ce_x,target,3T,0.6767155425219942,0.7554587348135735,0.6522102914516803,0.6627906976744186,0.72,0.6334310850439883,516,516
42,ADNI_to_NACC,ce_x,source_val,1.5T,0.563467492260062,0.5913312693498453,0.55,0.5555555555555556,0.7058823529411765,0.42105263157894735,36,36
42,ADNI_to_NACC,ce_x,source_test,1.5T,0.6354166666666667,0.7083333333333333,0.6025806451612903,0.6071428571428571,0.8333333333333334,0.4375,28,28
42,ADNI_to_NACC,ce_x,source_test,3T,1.0,,0.5,1.0,1.0,,1,1
42,ADNI_to_NACC,mixstyle_x,target,3T,0.7051780477586929,0.7651110180142437,0.6948428391540309,0.7151162790697675,0.6742857142857143,0.7360703812316716,516,516
42,ADNI_to_NACC,mixstyle_x,source_val,1.5T,0.6160990712074303,0.6594427244582043,0.609907120743034,0.6111111111111112,0.7058823529411765,0.5263157894736842,36,36
42,ADNI_to_NACC,mixstyle_x,source_test,1.5T,0.6458333333333333,0.703125,0.641025641025641,0.6428571428571429,0.6666666666666666,0.625,28,28
42,ADNI_to_NACC,mixstyle_x,source_test,3T,1.0,,0.5,1.0,1.0,,1,1
42,ADNI_to_NACC,apic_v3_2_x,target,3T,0.6673900293255133,0.7451026392961876,0.6321129144791774,0.6375968992248062,0.76,0.5747800586510264,516,516
42,ADNI_to_NACC,apic_v3_2_x,source_val,1.5T,0.5990712074303406,0.6346749226006192,0.5555555555555556,0.5833333333333334,0.8823529411764706,0.3157894736842105,36,36
42,ADNI_to_NACC,apic_v3_2_x,source_test,1.5T,0.6458333333333333,0.765625,0.5942028985507246,0.6071428571428571,0.9166666666666666,0.375,28,28
42,ADNI_to_NACC,apic_v3_2_x,source_test,3T,1.0,,0.5,1.0,1.0,,1,1
42,NACC_to_ADNI,ce_x,target,1.5T,0.7211309523809524,0.7777777777777778,0.6963906581740976,0.6993006993006993,0.9047619047619048,0.5375,143,143
42,NACC_to_ADNI,ce_x,target,3T,1.0,1.0,1.0,1.0,1.0,1.0,3,3
42,NACC_to_ADNI,ce_x,source_val,3T,0.7326226012793177,0.8366737739872068,0.6665384615384615,0.6666666666666666,0.9428571428571428,0.5223880597014925,102,102
42,NACC_to_ADNI,ce_x,source_test,3T,0.7096136962247586,0.7936786654960492,0.6432496075353218,0.6435643564356436,0.9117647058823529,0.5074626865671642,101,101
42,NACC_to_ADNI,mixstyle_x,target,1.5T,0.660515873015873,0.7599206349206349,0.6503325508607198,0.6503496503496503,0.746031746031746,0.575,143,143
42,NACC_to_ADNI,mixstyle_x,target,3T,0.75,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,3,3
42,NACC_to_ADNI,mixstyle_x,source_val,3T,0.74136460554371,0.7876332622601279,0.6936936936936937,0.696078431372549,0.8857142857142857,0.5970149253731343,102,102
42,NACC_to_ADNI,mixstyle_x,source_test,3T,0.7249780509218613,0.8129938542581212,0.6793650793650794,0.6831683168316832,0.8529411764705882,0.5970149253731343,101,101
42,NACC_to_ADNI,apic_v3_2_x,target,1.5T,0.7078373015873016,0.7593253968253969,0.7099391480730223,0.7202797202797203,0.6031746031746031,0.8125,143,143
42,NACC_to_ADNI,apic_v3_2_x,target,3T,0.5,1.0,0.25,0.3333333333333333,0.0,1.0,3,3
42,NACC_to_ADNI,apic_v3_2_x,source_val,3T,0.7533049040511728,0.823454157782516,0.7515620036005506,0.7745098039215687,0.6857142857142857,0.8208955223880597,102,102
